"skill_id","skills","demand_count","skill_average_salary"
1,"python","763","143827.93"
0,"sql","591","142832.59"
5,"r","394","137885.37"
182,"tableau","219","146970.05"
76,"aws","217","149629.96"
92,"spark","149","150188.49"
99,"tensorflow","126","151536.49"
74,"azure","122","142305.83"
101,"pytorch","115","152602.70"
93,"pandas","113","144815.95"
